,CN_PPI,CN_IP,CN_EX_YoY,US_PPI,US_IP,EA_PPI,EA_IP,EA_EX_YoY,JP_PPI,JP_IP,JP_EX_YoY,KR_PPI,KR_IP,KR_EX_YoY
2017-03-22,,,-0.2465375969835426,,,,,2.021537880219171,,,-2.51053370786517,,,-3.157593818219606
2017-03-23,,,-0.22753623188407346,,,,,1.9372519372519381,,,-2.5177647162031636,,,-2.7794446328715305
2017-03-24,,,-0.44854079550880055,,,,,2.455674599412161,,,-3.0982719497294475,,,-3.290926569035846
2017-03-27,,,-0.5775410358104471,,,,,2.796145853013421,,,-3.687559933745954,,,-4.301799468103473
2017-03-28,,,-0.3924692251991324,,,,,1.734320802474909,,,-3.877586506694486,,,-3.3780435859766755
2017-03-29,,,-0.24764663287473176,,,,,0.8059981255857496,,,-3.10618619666696,,,-3.3111085998417833
2017-03-30,,,-0.3761029943584626,,,,,0.7609206200093865,,,-2.852656372677309,,,-2.997718843052921
2017-03-31,,,-0.4339524388127014,,,,,0.6396989651928697,,,-2.8344671201814053,,,-2.331841700461479
2017-04-01,6.4,106.5,,2.456778889899902,1.3993011097695573,3.88548057259714,1.17073170731705,,1.97026564795441,4.637109457543409,,5.653673320096142,4.53219939980767,
2017-04-03,,,-0.4310718935339186,,,,,-0.7729558577016404,,,-1.822686250221206,,,-2.6895014540198714
2017-04-04,,,-0.24347826086956736,,,,,-0.7261217650344487,,,-1.7129670719801204,,,-0.5369151301975017
2017-04-05,,,-0.18826937002172084,,,,,-0.8647944950715858,,,-1.2345679012345734,,,1.2847368941552917
2017-04-06,,,0.18160685747494743,,,,,-1.4708603145235921,,,-0.786416443252913,,,1.1607629915133755
2017-04-07,,,0.28058442974485676,,,,,-1.7037037037036962,,,-0.27012425715828847,,,1.429453176015949
2017-04-10,,,0.21062417384483112,,,,,-1.6779456753499566,,,-0.15298776097912858,,,2.086930074871862
2017-04-11,,,0.1308082496402907,,,,,-1.7767906718489823,,,-1.1618481491488808,,,2.7832254251403565
2017-04-12,,,0.2955435526373451,,,,,-2.490351038412064,,,-0.8508327299058593,,,2.754669313362812
2017-04-13,,,0.12503816571918236,,,,,-2.0457058606708434,,,-1.2029667149059287,,,1.9621955717897155
2017-04-14,,,-0.06388013763266587,,,,,-1.217924879137211,,,-2.1791985592075624,,,2.192793181572994
2017-04-17,,,-0.10164077246986869,,,,,-0.615327242215169,,,-2.604166666666674,,,1.807720961125936
2017-04-18,,,-0.07845188284519855,,,,,0.07478033277246166,,,-2.7017323400053805,,,2.363353259118739
2017-04-19,,,0.04067875406787991,,,,,0.4880337869545004,,,-1.7123287671232834,,,2.211783653200894
2017-04-20,,,-0.04649000464901354,,,,,0.8814703675918967,,,-1.2642225031605503,,,1.2185888242577603
2017-04-21,,,-0.1088218224027937,,,,,0.3095394428289877,,,-1.9064748201438886,,,0.6781586749276647
2017-04-24,,,-0.16677543325357425,,,,,1.8308140080743662,,,-1.1529454152405028,,,0.08663289751682512
2017-04-25,,,-0.22325959001421314,,,,,3.061416729464961,,,0.10834236186347823,,,-0.648211025760892
2017-04-26,,,-0.10146692178348848,,,,,2.5080143315104664,,,0.5137449301487074,,,-0.7071255826995193
2017-04-27,,,0.09434920819242354,,,,,2.355379687205583,,,1.2666302168762522,,,-1.2145290432752254
2017-04-28,,,0.014515894904909565,,,,,2.6764678164169275,,,1.7345262004746953,,,-0.16156932992632544
2017-05-01,5.5,106.5,0.05082407609089401,2.1798365122615904,1.7500792534729248,3.04878048780487,,2.6528692380056507,2.00088721318277,3.5460530108889055,2.334523482559736,4.23588039867111,2.12899831866902,0.1367663148978293
2017-05-02,,,0.1656134234037987,,,,,2.682352941176469,,,3.1575071343091343,,,-0.6607018747745608
2017-05-03,,,0.24418604651161857,,,,,2.4390243902439046,,,3.5773557071731688,,,-0.26449195503637224
2017-05-04,,,0.2631655471226235,,,,,2.43788529796376,,,3.966789667896675,,,-0.8471094248572952
2017-05-05,,,0.2338077258205118,,,,,2.699168768095639,,,3.2734274711168077,,,-0.5147193991438703
2017-05-08,,,0.34883720930232176,,,,,1.580219371630398,,,3.201024327784885,,,-0.2974592753610339
2017-05-09,,,0.31229573680005007,,,,,1.6925378717037587,,,4.684635130179693,,,0.05466311650295097
2017-05-10,,,0.24840209180707618,,,,,0.24893970127235487,,,3.9001275742664543,,,-0.005299463870900301
2017-05-11,,,0.3036731372777046,,,,,-0.6580751302440402,,,2.606421356421351,,,0.08610435492748536
2017-05-12,,,0.0783539858962845,,,,,0.4966887417218624,,,1.5961262553801925,,,-1.0139696603334025
2017-05-15,,,-0.08410916789931555,,,,,1.0585419734904233,,,2.168631332673465,,,-1.6598608256969682
2017-05-16,,,-0.08708272859215827,,,,,1.6245984396512148,,,1.6152189519023752,,,-1.9340539494630549
2017-05-17,,,-0.18432510885341147,,,,,2.0344574780058577,,,-0.2862766147790352,,,-1.4274762748155978
2017-05-18,,,-0.100073967715264,,,,,2.016498625114571,,,-1.1065500624665492,,,0.0008856140848001459
2017-05-19,,,-0.20009279665931246,,,,,2.4725274725274637,,,-0.7744347516467909,,,-1.285303867403309
